Interval,Top Keyword,Count,sentiment
2007Q1,bag,11,neutral
2007Q1,ant,7,neutral
2007Q1,murder,7,negative
2007Q1,water,6,neutral
2007Q1,world,6,neutral
2007Q1,cup,6,neutral
2007Q1,mac,5,neutral
2007Q1,aged,5,neutral
2007Q1,care,5,neutral
2007Q1,art,4,positive
2007Q1,youth,4,neutral
2007Q1,air,4,neutral
2007Q1,drug,4,neutral
2007Q1,flood,4,neutral
2007Q1,seek,4,neutral
2007Q1,counsel,3,neutral
2007Q1,ferry,3,neutral
2007Q1,cane,3,neutral
2007Q1,arch,3,neutral
2007Q1,anti,3,neutral
2007Q1,recycled,3,neutral
2007Q1,bomb,3,neutral
2007Q1,takeover,3,neutral
2007Q1,council,3,neutral
2007Q1,hawk,3,neutral
2007Q1,black,3,neutral
2007Q1,arm,3,neutral
2007Q1,riot,2,neutral
2007Q1,weather,2,neutral
2007Q1,apple,2,positive
2007Q1,tax,2,neutral
2007Q1,plane,2,neutral
2007Q1,minister,2,neutral
2007Q1,pollution,2,neutral
2007Q1,can,2,neutral
2007Q1,buy,2,neutral
2007Q1,ambulance,2,neutral
2007Q1,cargo,2,neutral
2007Q1,bird,2,neutral
2007Q1,flu,2,neutral
2007Q1,cancer,2,neutral
2007Q1,fund,2,neutral
2007Q1,hill,2,neutral
2007Q1,all,2,neutral
2007Q1,airs,2,neutral
2007Q1,port,2,neutral
2007Q1,environmental,2,neutral
2007Q1,iron,2,neutral
2007Q1,force,2,neutral
2007Q1,attack,2,neutral
2007Q2,sex,8,neutral
2007Q2,uranium,5,neutral
2007Q2,home,5,neutral
2007Q2,child,5,neutral
2007Q2,price,5,neutral
2007Q2,fixing,5,neutral
2007Q2,climate,4,neutral
2007Q2,change,4,neutral
2007Q2,tiger,4,neutral
2007Q2,radio,4,neutral
2007Q2,affordable,4,neutral
2007Q2,housing,4,neutral
2007Q2,drought,4,neutral
2007Q2,solo,3,neutral
2007Q2,tsunami,3,neutral
2007Q2,protest,3,neutral
2007Q2,war,3,neutral
2007Q2,criminal,3,negative
2007Q2,euro,3,neutral
2007Q2,solar,3,neutral
2007Q2,off,3,neutral
2007Q2,car,3,neutral
2007Q2,bill,3,neutral
2007Q2,centre,3,neutral
2007Q2,community,3,neutral
2007Q2,fat,3,neutral
2007Q2,health,3,neutral
2007Q2,mayor,3,neutral
2007Q2,mum,3,neutral
2007Q2,death,3,negative
2007Q2,internet,2,neutral
2007Q2,bounty,2,neutral
2007Q2,age,2,neutral
2007Q2,theft,2,negative
2007Q2,algae,2,neutral
2007Q2,disaster,2,negative
2007Q2,law,2,neutral
2007Q2,road,2,neutral
2007Q2,rap,2,neutral
2007Q3,interview,13,neutral
2007Q3,suicide,9,negative
2007Q3,horse,9,neutral
2007Q3,terrorism,8,negative
2007Q3,bar,5,neutral
2007Q3,bra,5,neutral
2007Q3,mill,5,neutral
2007Q3,and,5,neutral
2007Q3,beat,4,neutral
2007Q3,abuse,4,neutral
2007Q3,bang,4,neutral
2007Q3,power,3,neutral
2007Q3,gas,3,neutral
2007Q3,gold,3,positive
2007Q3,pat,3,neutral
2007Q3,season,3,neutral
2007Q3,blast,3,positive
2007Q3,pulp,3,neutral
2007Q3,government,3,neutral
2007Q3,grand,3,neutral
2007Q3,amalgamation,3,neutral
2007Q3,court,3,neutral
2007Q3,strike,2,neutral
2007Q3,bail,2,neutral
2007Q3,trade,2,neutral
2007Q4,bush,4,neutral
2007Q4,school,4,neutral
2007Q4,assault,4,negative
2007Q4,alcohol,4,neutral
2007Q4,south,3,neutral
2007Q4,wind,3,neutral
2007Q4,farm,3,neutral
2007Q4,election,3,neutral
2007Q4,abortion,3,neutral
2007Q4,parole,3,neutral
2007Q4,con,3,neutral
2007Q4,stabbing,3,negative
2007Q4,rape,3,neutral
2007Q4,net,3,neutral
2007Q4,ale,3,neutral
2007Q4,boxing,3,neutral
2007Q4,review,2,neutral
2007Q4,mental,2,neutral
2007Q4,hospital,2,neutral
2007Q4,refugee,2,neutral
2007Q4,robbery,2,neutral
2008Q1,heat,6,neutral
2008Q1,club,4,neutral
2008Q1,whale,4,neutral
2008Q1,coast,4,neutral
2008Q1,east,4,neutral
2008Q1,music,3,neutral
2008Q1,baby,3,positive
2008Q1,sun,3,neutral
2008Q1,ledge,3,neutral
2008Q1,fraud,3,negative
2008Q1,day,3,neutral
2008Q1,rights,3,neutral
2008Q1,fly,3,neutral
2008Q1,eagle,3,neutral
2008Q1,heroin,3,positive
2008Q1,tourism,3,neutral
2008Q1,nuclear,3,neutral
2008Q1,red,2,neutral
2008Q1,murderer,2,negative
2008Q1,loan,2,neutral
2008Q1,thief,2,negative
2008Q1,blood,2,neutral
2008Q1,pool,2,neutral
2008Q1,surgery,2,neutral
2008Q2,torch,6,neutral
2008Q2,fuel,6,neutral
2008Q2,cannabis,4,neutral
2008Q2,lock,4,neutral
2008Q2,doom,3,neutral
2008Q2,man,3,neutral
2008Q2,coal,3,neutral
2008Q2,carbon,3,neutral
2008Q2,same,3,neutral
2008Q2,time,3,neutral
2008Q2,trading,3,neutral
2008Q2,energy,3,neutral
2008Q2,sect,2,neutral
2008Q2,mother,2,neutral
2008Q2,wall,2,neutral
2008Q2,bridge,2,neutral
2008Q2,act,2,neutral
2008Q2,cost,2,neutral
2008Q2,park,2,neutral
2008Q2,orbit,2,neutral
2008Q2,cold,2,neutral
2008Q2,stalk,2,neutral
2008Q2,burn,2,neutral
2008Q2,dog,2,neutral
2008Q2,killer,2,negative
2008Q3,carpenter,5,neutral
2008Q3,storm,4,neutral
2008Q3,cocaine,3,neutral
2008Q3,para,3,neutral
2008Q3,affairs,2,neutral
2008Q3,extra,2,neutral
2008Q3,salt,2,neutral
2008Q3,traffic,2,neutral
2008Q3,controller,2,neutral
2008Q3,bio,2,neutral
2008Q3,sing,2,neutral
2008Q3,station,2,neutral
2008Q3,ball,2,neutral
2008Q3,new,2,neutral
2008Q4,green,10,positive
2008Q4,crisis,5,neutral
2008Q4,slam,3,neutral
2008Q4,speed,3,neutral
2008Q4,lead,3,neutral
2008Q4,super,3,positive
2008Q4,bombing,3,neutral
2008Q4,train,3,neutral
2008Q4,boat,3,neutral
2008Q4,crime,2,neutral
2008Q4,animal,2,neutral
2008Q4,land,2,neutral
2008Q4,backpack,2,neutral
2008Q4,crash,2,neutral
2008Q4,milk,2,neutral
2008Q4,trial,2,neutral
2008Q4,earthquake,2,neutral
2008Q4,fast,2,neutral
2008Q4,labor,2,neutral
2008Q4,bus,2,neutral
2009Q1,stimulus,6,neutral
2009Q1,shooting,5,neutral
2009Q1,festival,4,neutral
2009Q1,people,4,neutral
2009Q1,airport,4,neutral
2009Q1,bank,3,neutral
2009Q1,coach,3,neutral
2009Q1,turkey,3,neutral
2009Q1,bend,3,neutral
2009Q1,nickel,3,neutral
2009Q1,invasion,3,neutral
2009Q1,bust,3,neutral
2009Q1,nursing,3,neutral
2009Q1,year,2,neutral
2009Q1,mall,2,neutral
2009Q2,asylum,4,neutral
2009Q2,self,4,neutral
2009Q2,prison,4,neutral
2009Q2,public,3,neutral
2009Q2,hall,3,neutral
2009Q2,service,3,neutral
2009Q2,turn,3,neutral
2009Q2,mark,3,neutral
2009Q2,yacht,2,neutral
2009Q2,race,2,neutral
2009Q2,town,2,neutral
2009Q2,river,2,neutral
2009Q2,ski,2,neutral
2009Q2,dean,2,neutral
2009Q2,trafficking,2,neutral
2009Q3,jack,4,neutral
2009Q3,queen,3,positive
2009Q3,range,3,neutral
2009Q3,pay,3,neutral
2009Q3,lot,2,neutral
2009Q3,bullying,2,negative
2009Q3,plan,2,neutral
2009Q3,accused,2,neutral
2009Q3,attacker,2,neutral
2009Q3,truck,2,neutral
2009Q3,rugby,2,neutral
2009Q3,jail,2,neutral
2009Q4,run,5,neutral
2009Q4,die,3,neutral
2009Q4,angle,3,neutral
2009Q4,blues,3,neutral
2009Q4,abbot,3,neutral
2009Q4,dub,2,neutral
2009Q4,scare,2,neutral
2009Q4,sum,2,neutral
2009Q4,rock,2,neutral
2009Q4,science,2,neutral
2009Q4,big,2,positive
2009Q4,bright,2,positive
2009Q4,risk,2,neutral
2009Q4,warning,2,neutral
2009Q4,parking,2,neutral
2010Q1,after,3,neutral
2010Q1,ore,3,neutral
2010Q1,face,3,neutral
2010Q1,ins,3,neutral
2010Q1,free,3,neutral
2010Q1,golden,3,positive
2010Q1,mater,3,neutral
2010Q1,mud,2,neutral
2010Q1,who,2,neutral
2010Q2,ash,4,neutral
2010Q2,bell,4,neutral
2010Q2,bull,3,neutral
2010Q2,job,3,neutral
2010Q2,emergency,3,neutral
2010Q2,smuggling,2,neutral
2010Q2,drive,2,neutral
2010Q2,camp,2,neutral
2010Q2,final,2,positive
2010Q2,hit,2,neutral
2010Q2,drink,2,neutral
2010Q3,house,7,neutral
2010Q3,fire,4,neutral
2010Q3,arms,3,neutral
2010Q3,dem,3,neutral
2010Q3,sexual,3,neutral
2010Q3,sack,3,neutral
2010Q3,immigration,3,neutral
2010Q3,building,3,neutral
2010Q3,treasury,2,neutral
2010Q3,kidnap,2,neutral
2010Q3,smug,2,neutral
2010Q3,room,2,neutral
2010Q3,manager,2,neutral
2010Q4,met,3,neutral
2010Q4,detention,3,neutral
2010Q4,life,3,neutral
2010Q4,history,2,neutral
2010Q4,market,2,neutral
2010Q4,spring,2,neutral
2010Q4,pro,2,neutral
2010Q4,shooter,2,neutral
2010Q4,drag,2,neutral
2011Q1,ass,4,neutral
2011Q1,cyclone,3,neutral
2011Q1,ben,3,neutral
2011Q1,stamped,2,neutral
2011Q1,escape,2,neutral
2011Q2,cattle,5,neutral
2011Q2,poker,3,neutral
2011Q2,food,3,neutral
2011Q2,bin,3,neutral
2011Q2,laden,3,neutral
2011Q2,apartheid,3,neutral
2011Q3,marriage,5,neutral
2011Q3,crow,4,neutral
2011Q3,scandal,3,neutral
2011Q3,space,3,neutral
2011Q3,foot,3,neutral
2011Q3,ground,2,neutral
2011Q3,smoking,2,neutral
2011Q3,roll,2,neutral
2011Q4,wine,5,positive
2011Q4,seven,4,neutral
2011Q4,band,3,neutral
2011Q4,wool,3,neutral
2011Q4,reckless,3,negative
2011Q4,driving,3,neutral
2011Q4,league,3,neutral
2011Q4,cricket,3,neutral
2011Q4,gay,3,neutral
2011Q4,out,2,neutral
2011Q4,deal,2,neutral
2012Q1,dam,4,neutral
2012Q1,protection,3,neutral
2012Q1,property,3,neutral
2012Q1,human,3,neutral
2012Q1,campaign,3,neutral
2012Q1,glad,2,positive
2012Q1,post,2,neutral
2012Q2,rise,5,neutral
2012Q2,budget,4,neutral
2012Q2,fair,4,neutral
2012Q2,rate,4,neutral
2012Q2,high,3,neutral
2012Q2,din,3,neutral
2012Q2,survey,3,neutral
2012Q2,bomber,3,neutral
2012Q2,slip,3,neutral
2012Q2,rail,3,neutral
2012Q2,share,3,neutral
2012Q2,cab,2,neutral
2012Q2,sand,2,neutral
2012Q3,rode,3,neutral
2012Q3,waste,3,neutral
2012Q3,education,3,neutral
2012Q3,disability,3,negative
2012Q3,mystery,2,neutral
2012Q3,hunt,2,neutral
2012Q3,civil,2,neutral
2012Q3,unions,2,neutral
2012Q4,royal,5,neutral
2012Q4,sheep,4,neutral
2012Q4,corruption,4,neutral
2012Q4,political,3,neutral
2012Q4,limb,3,neutral
2012Q4,potato,3,neutral
2012Q4,tip,3,neutral
2013Q1,national,3,neutral
2013Q1,disorder,2,negative
2013Q1,church,2,neutral
2013Q1,fatal,2,neutral
2013Q1,street,2,neutral
2013Q1,cat,2,neutral
2013Q1,island,2,neutral
2013Q1,aerial,2,neutral
2013Q2,sat,8,neutral
2013Q2,bay,7,neutral
2013Q2,grain,5,neutral
2013Q2,parental,4,neutral
2013Q2,leave,4,neutral
2013Q2,will,4,neutral
2013Q2,match,3,neutral
2013Q2,den,3,neutral
2013Q2,soccer,3,neutral
2013Q2,men,3,neutral
2013Q2,domestic,2,neutral
2013Q3,boycott,5,negative
2013Q3,blog,4,neutral
2013Q3,coalition,4,neutral
2013Q3,tour,3,neutral
2013Q3,sky,3,neutral
2013Q4,harbour,3,neutral
2013Q4,breast,3,neutral
2013Q4,spying,3,neutral
2013Q4,hop,3,neutral
2013Q4,sergeant,2,neutral
2013Q4,torque,2,neutral
2014Q1,pet,4,neutral
2014Q1,referee,3,neutral
2014Q1,insurance,3,neutral
2014Q1,nor,3,neutral
2014Q1,ton,3,neutral
2014Q1,common,3,neutral
2014Q1,referendum,2,neutral
2014Q1,dollar,2,neutral
2014Q1,captain,2,neutral
2014Q2,live,33,neutral
2014Q2,streaming,33,neutral
2014Q2,racial,4,neutral
2014Q2,sugar,3,neutral
2014Q2,defence,3,neutral
2014Q2,landslide,3,neutral
2014Q2,casino,2,neutral
2014Q2,marshal,2,neutral
2014Q2,dairy,2,neutral
2014Q2,rules,2,neutral
2014Q3,brown,3,neutral
2014Q3,basketball,3,neutral
2014Q3,table,3,neutral
2014Q3,tennis,3,neutral
2014Q3,security,3,neutral
2014Q3,show,3,neutral
2014Q4,cent,5,neutral
2014Q4,draft,5,neutral
2014Q4,put,3,neutral
2014Q4,bishop,3,neutral
2014Q4,memorial,3,neutral
2014Q4,livestock,2,neutral
2014Q4,wildlife,2,neutral
2014Q4,white,2,neutral
2014Q4,derby,2,neutral
2014Q4,golf,2,neutral
2014Q4,boy,2,neutral
2015Q1,box,3,neutral
2015Q1,salmon,3,neutral
2015Q1,welfare,3,neutral
2015Q1,leader,3,neutral
2015Q1,came,3,neutral
2015Q1,gal,3,neutral
2015Q1,violence,3,negative
2015Q1,van,3,neutral
2015Q2,beef,6,neutral
2015Q2,dogs,5,neutral
2015Q2,light,4,positive
2015Q2,wild,4,neutral
2015Q2,test,3,neutral
2015Q2,discrimination,3,negative
2015Q2,auction,3,neutral
2015Q2,drone,3,neutral
2015Q2,social,3,neutral
2015Q2,media,3,neutral
2015Q2,page,3,neutral
2015Q3,bat,4,neutral
2015Q3,per,4,neutral
2015Q3,paper,3,neutral
2015Q3,oil,3,neutral
2015Q3,back,3,neutral
2015Q3,nurse,3,neutral
2015Q3,hand,3,neutral
2015Q4,striker,5,neutral
2015Q4,west,3,neutral
2015Q4,brain,3,neutral
2015Q4,par,3,neutral
2016Q1,snow,3,neutral
2016Q1,virus,3,neutral
2016Q1,bass,3,neutral
2016Q1,balloon,3,neutral
2016Q1,coral,3,neutral
2016Q2,racism,5,negative
2016Q2,tree,4,neutral
2016Q2,concussion,3,neutral
2016Q2,fish,3,neutral
2016Q2,pan,3,neutral
2016Q2,shot,3,neutral
2016Q2,barn,3,neutral
2016Q2,games,2,neutral
2016Q2,north,2,neutral
2016Q3,grey,4,neutral
2016Q3,western,3,neutral
2016Q3,state,3,neutral
2016Q3,racing,3,neutral
2016Q3,conservation,3,neutral
2016Q3,stand,3,neutral
2016Q3,work,3,neutral
2016Q3,pen,2,neutral
2016Q3,condom,2,neutral
2016Q3,cow,2,neutral
2016Q4,shotgun,4,neutral
2016Q4,sea,3,neutral
2016Q4,pearl,3,neutral
2017Q1,shear,5,neutral
2017Q1,score,5,neutral
2017Q1,mon,3,neutral
2017Q1,culture,3,neutral
2017Q1,safe,3,neutral
2017Q1,bee,3,neutral
2017Q1,noon,2,neutral
2017Q2,country,4,neutral
2017Q2,carnival,4,neutral
2017Q2,imp,3,neutral
2017Q2,heart,3,positive
2017Q2,banana,3,neutral
2017Q2,clad,3,neutral
2017Q3,for,4,neutral
2017Q3,rich,4,neutral
2017Q3,city,3,neutral
2017Q3,union,3,neutral
2017Q3,call,3,neutral
2017Q3,ban,3,neutral
2017Q3,intelligence,3,neutral
2017Q4,marsh,4,neutral
2017Q4,submarine,4,neutral
2017Q4,nature,3,positive
2017Q4,clean,3,neutral
2017Q4,pets,3,neutral
2017Q4,spin,3,neutral
2017Q4,haven,2,neutral
2018Q1,commission,10,neutral
2018Q1,min,5,neutral
2018Q1,nations,4,neutral
2018Q1,bit,3,neutral
2018Q1,stock,3,neutral
2018Q1,angel,3,neutral
2018Q1,ten,3,neutral
2018Q1,fireworks,2,neutral
2018Q1,lightning,2,neutral
2018Q1,ballet,2,neutral
2018Q2,cart,4,neutral
2018Q2,blue,3,neutral
2018Q3,cave,5,neutral
2018Q3,yoga,4,neutral
2018Q3,baseball,4,neutral
2018Q3,funeral,3,neutral
2018Q3,axe,3,neutral
2018Q3,flash,3,neutral
2018Q4,shark,4,neutral
2018Q4,fin,4,neutral
2018Q4,hay,3,neutral
2018Q4,honey,3,neutral
2018Q4,zoo,3,neutral
2018Q4,artificial,3,neutral
2019Q1,serial,4,neutral
2019Q1,inside,3,neutral
2019Q2,hole,5,negative
2019Q3,moon,6,positive
2019Q3,pop,4,neutral
2019Q3,landing,4,neutral
2019Q3,arc,3,neutral
2019Q3,meta,3,neutral
2019Q4,fever,8,negative
2019Q4,pork,2,neutral
2019Q4,painting,2,neutral
2020Q1,cruise,6,neutral
2020Q1,ship,6,neutral
2020Q1,chief,3,neutral
2020Q1,body,3,neutral
2020Q1,cheer,3,positive
2020Q1,mobile,3,neutral
2020Q1,bond,3,neutral
2020Q1,carpet,2,neutral
2020Q1,commissioner,2,neutral
2020Q2,theatre,4,neutral
2020Q2,winter,4,neutral
2020Q2,online,4,neutral
2020Q2,football,3,neutral
2020Q2,recession,3,neutral
2020Q2,lives,3,neutral
2020Q2,matter,3,neutral
2020Q2,news,3,neutral
2020Q2,arts,2,neutral
2020Q3,vaccine,12,neutral
2020Q3,naval,6,neutral
2020Q3,autism,3,neutral
2020Q3,point,3,neutral
2020Q4,crimes,12,neutral
2020Q4,bid,5,neutral
2020Q4,don,4,neutral
2020Q4,reef,4,neutral
2020Q4,cease,3,neutral
2020Q4,renewable,3,neutral
2021Q2,astronaut,3,neutral
2021Q2,prince,3,neutral
2021Q2,single,3,neutral
2021Q2,def,3,neutral
2021Q2,federal,3,neutral
2021Q2,cross,2,neutral
2021Q2,arrest,2,neutral
2021Q2,fashion,2,neutral
2021Q2,party,2,neutral
2021Q3,bow,2,neutral
2021Q3,contact,2,neutral
2021Q3,tracing,2,neutral
2021Q3,chant,2,neutral
2021Q3,spy,2,neutral
2021Q3,industry,2,neutral
2021Q3,delta,2,neutral
2021Q4,boost,9,positive
2021Q4,volcano,3,neutral
2021Q4,zero,3,neutral
2021Q4,cry,3,neutral
2021Q4,bald,3,neutral
2021Q4,jumping,3,neutral
2021Q4,castle,3,neutral
