Interval,Top Keyword,Count
2007Q1,India,22
2007Q1,New,8
2007Q1,China,6
2007Q1,Nan,6
2007Q1,Mumbai,6
2007Q1,Gujarat,5
2007Q1,Delhi,5
2007Q1,time,5
2007Q1,murder,5
2007Q1,Air,4
2007Q1,Nepal,4
2007Q1,crore,4
2007Q1,Year,3
2007Q1,Bangalore,3
2007Q1,the,3
2007Q1,Indo,3
2007Q1,Pak,3
2007Q1,Bank,3
2007Q1,York,3
2007Q1,Iraq,3
2007Q1,parking,3
2007Q1,Iran,3
2007Q1,aviation,3
2007Q1,water,3
2007Q1,air,3
2007Q1,rate,3
2007Q1,Blue,3
2007Q1,insurance,3
2007Q1,Pakistan,3
2007Q1,rice,3
2007Q1,test,3
2007Q1,Time,2
2007Q1,Are,2
2007Q1,surgery,2
2007Q1,All,2
2007Q1,Telecom,2
2007Q1,Black,2
2007Q1,She,2
2007Q1,Assam,2
2007Q1,hockey,2
2007Q1,Brain,2
2007Q1,ministry,2
2007Q1,defence,2
2007Q1,double,2
2007Q1,Buddha,2
2007Q1,Maharashtra,2
2007Q1,Bangladesh,2
2007Q1,death,2
2007Q1,Lucknow,2
2007Q1,energy,2
2007Q2,India,22
2007Q2,Delhi,7
2007Q2,Mumbai,6
2007Q2,people,6
2007Q2,crore,6
2007Q2,China,5
2007Q2,World,4
2007Q2,Kerala,4
2007Q2,cricket,3
2007Q2,Air,3
2007Q2,quota,3
2007Q2,Bengal,3
2007Q2,Story,3
2007Q2,Chi,3
2007Q2,technology,3
2007Q2,Cast,3
2007Q2,star,3
2007Q2,heart,3
2007Q2,the,3
2007Q2,Kang,3
2007Q2,Hyderabad,3
2007Q2,Khan,3
2007Q2,Kumar,3
2007Q2,Bach,3
2007Q2,street,3
2007Q2,Man,2
2007Q2,tax,2
2007Q2,face,2
2007Q2,Dad,2
2007Q2,Language,2
2007Q2,Love,2
2007Q2,Land,2
2007Q2,Cha,2
2007Q2,pull,2
2007Q2,jungle,2
2007Q2,aircraft,2
2007Q2,man,2
2007Q2,Jet,2
2007Q2,Bollywood,2
2007Q2,Singh,2
2007Q2,The,2
2007Q2,New,2
2007Q2,bio,2
2007Q2,reproductive,2
2007Q2,show,2
2007Q2,time,2
2007Q2,down,2
2007Q2,Dal,2
2007Q2,fraud,2
2007Q2,Dubai,2
2007Q3,Mumbai,17
2007Q3,Bollywood,15
2007Q3,time,10
2007Q3,Shah,9
2007Q3,San,7
2007Q3,Khan,7
2007Q3,party,6
2007Q3,India,6
2007Q3,Raj,6
2007Q3,Kumar,5
2007Q3,Sun,5
2007Q3,Delhi,4
2007Q3,Gandhi,4
2007Q3,world,4
2007Q3,Sal,4
2007Q3,film,4
2007Q3,Man,4
2007Q3,action,4
2007Q3,Cho,4
2007Q3,Dev,4
2007Q3,Party,4
2007Q3,Ash,3
2007Q3,Marriage,3
2007Q3,Bobby,3
2007Q3,life,3
2007Q3,big,3
2007Q3,girl,3
2007Q3,Chi,3
2007Q3,music,3
2007Q3,Kapoor,3
2007Q3,cricket,3
2007Q3,Cha,3
2007Q3,Rani,3
2007Q3,fashion,3
2007Q3,Sharma,3
2007Q3,heroine,3
2007Q3,Anand,3
2007Q3,Sen,3
2007Q3,Pre,2
2007Q3,Sin,2
2007Q3,Nan,2
2007Q3,Video,2
2007Q3,games,2
2007Q3,car,2
2007Q3,Grand,2
2007Q3,medicine,2
2007Q3,kiss,2
2007Q3,magic,2
2007Q3,Italy,2
2007Q3,Paris,2
2007Q4,Delhi,31
2007Q4,Bollywood,12
2007Q4,Pune,11
2007Q4,time,11
2007Q4,party,10
2007Q4,Cho,10
2007Q4,Bangalore,10
2007Q4,Khan,9
2007Q4,Kapoor,8
2007Q4,Hyderabad,7
2007Q4,San,7
2007Q4,Mumbai,7
2007Q4,Shah,6
2007Q4,Ahmed,6
2007Q4,screen,5
2007Q4,Dev,5
2007Q4,Ali,5
2007Q4,cricket,4
2007Q4,life,4
2007Q4,Sal,4
2007Q4,art,4
2007Q4,Sai,4
2007Q4,super,4
2007Q4,wedding,4
2007Q4,love,3
2007Q4,game,3
2007Q4,Gandhi,3
2007Q4,Raw,3
2007Q4,Son,3
2007Q4,Ash,3
2007Q4,star,3
2007Q4,Mad,3
2007Q4,Nik,3
2007Q4,Anand,3
2007Q4,music,3
2007Q4,Party,3
2007Q4,day,3
2007Q4,single,3
2007Q4,Life,3
2007Q4,Cricket,3
2007Q4,Kumar,3
2007Q4,world,3
2007Q4,comedy,3
2007Q4,Maria,3
2007Q4,Hans,3
2007Q4,Gujarat,3
2007Q4,Fashion,2
2007Q4,actor,2
2007Q4,big,2
2007Q4,fashion,2
2008Q1,Delhi,20
2008Q1,Bollywood,13
2008Q1,time,12
2008Q1,Khan,11
2008Q1,She,7
2008Q1,Sai,7
2008Q1,Shah,7
2008Q1,Ahmed,5
2008Q1,Pune,5
2008Q1,India,5
2008Q1,Mumbai,5
2008Q1,love,4
2008Q1,hit,4
2008Q1,art,4
2008Q1,Sun,4
2008Q1,Kapoor,3
2008Q1,party,3
2008Q1,music,3
2008Q1,mom,3
2008Q1,Bose,3
2008Q1,Ram,3
2008Q1,Madonna,3
2008Q1,Kate,3
2008Q1,life,3
2008Q1,star,3
2008Q1,mast,3
2008Q1,Film,3
2008Q1,tech,3
2008Q1,fashion,3
2008Q1,magic,3
2008Q1,Cho,3
2008Q1,Shi,3
2008Q1,hair,3
2008Q1,friends,3
2008Q1,Hyderabad,3
2008Q1,buzz,3
2008Q1,wedding,2
2008Q1,New,2
2008Q1,Year,2
2008Q1,Nik,2
2008Q1,Man,2
2008Q1,one,2
2008Q1,Star,2
2008Q1,power,2
2008Q1,Mall,2
2008Q1,Rani,2
2008Q1,Sri,2
2008Q1,Lucy,2
2008Q1,Liu,2
2008Q1,role,2
2008Q2,Delhi,17
2008Q2,fashion,12
2008Q2,Raj,8
2008Q2,Bollywood,7
2008Q2,life,7
2008Q2,time,6
2008Q2,love,6
2008Q2,skin,6
2008Q2,Mumbai,5
2008Q2,Khan,5
2008Q2,tech,4
2008Q2,man,4
2008Q2,India,4
2008Q2,sex,4
2008Q2,Love,4
2008Q2,cancer,4
2008Q2,Sai,4
2008Q2,hair,4
2008Q2,weight,4
2008Q2,art,4
2008Q2,Shah,3
2008Q2,sleep,3
2008Q2,Cricket,3
2008Q2,Party,3
2008Q2,Same,3
2008Q2,diet,3
2008Q2,cinema,3
2008Q2,loss,3
2008Q2,Tel,3
2008Q2,freak,3
2008Q2,Fashion,3
2008Q2,cricket,3
2008Q2,Son,3
2008Q2,Bangalore,3
2008Q2,summer,3
2008Q2,Shi,3
2008Q2,Rajasthan,3
2008Q2,Ahmed,3
2008Q2,heart,3
2008Q2,yoga,3
2008Q2,Jai,3
2008Q2,juice,3
2008Q2,Super,2
2008Q2,Rani,2
2008Q2,World,2
2008Q2,charity,2
2008Q2,power,2
2008Q2,Time,2
2008Q2,Day,2
2008Q2,mood,2
2008Q3,Delhi,13
2008Q3,Khan,9
2008Q3,monsoon,8
2008Q3,fashion,8
2008Q3,India,7
2008Q3,heart,7
2008Q3,time,6
2008Q3,life,6
2008Q3,wine,6
2008Q3,Bollywood,5
2008Q3,Miss,5
2008Q3,love,5
2008Q3,Jai,5
2008Q3,Mind,5
2008Q3,people,4
2008Q3,Shah,4
2008Q3,Madonna,4
2008Q3,cell,4
2008Q3,music,4
2008Q3,Chi,4
2008Q3,Gen,4
2008Q3,film,4
2008Q3,Krishna,4
2008Q3,power,3
2008Q3,San,3
2008Q3,Sai,3
2008Q3,mind,3
2008Q3,cancer,3
2008Q3,Universe,3
2008Q3,2008,3
2008Q3,gold,3
2008Q3,Party,3
2008Q3,screen,3
2008Q3,Via,3
2008Q3,sex,3
2008Q3,shake,3
2008Q3,Ahmed,3
2008Q3,loss,3
2008Q3,Bach,3
2008Q3,work,3
2008Q3,death,3
2008Q3,hit,3
2008Q3,flirting,3
2008Q3,skin,2
2008Q3,energy,2
2008Q3,orgasm,2
2008Q3,Con,2
2008Q3,day,2
2008Q3,fitness,2
2008Q3,romantic,2
2008Q4,Delhi,12
2008Q4,Jai,9
2008Q4,Mumbai,9
2008Q4,India,7
2008Q4,fashion,6
2008Q4,time,6
2008Q4,cancer,6
2008Q4,sex,5
2008Q4,life,4
2008Q4,hair,4
2008Q4,wine,4
2008Q4,rape,4
2008Q4,murder,4
2008Q4,make,4
2008Q4,energy,3
2008Q4,Pan,3
2008Q4,party,3
2008Q4,Miss,3
2008Q4,Love,3
2008Q4,Bollywood,3
2008Q4,Pre,3
2008Q4,breast,3
2008Q4,Kapoor,3
2008Q4,heart,3
2008Q4,fame,3
2008Q4,cold,3
2008Q4,Star,3
2008Q4,water,2
2008Q4,world,2
2008Q4,Time,2
2008Q4,Assam,2
2008Q4,Gujarat,2
2008Q4,reel,2
2008Q4,heroine,2
2008Q4,loss,2
2008Q4,Kashmir,2
2008Q4,Bach,2
2008Q4,club,2
2008Q4,San,2
2008Q4,bliss,2
2008Q4,crore,2
2008Q4,poll,2
2008Q4,music,2
2008Q4,oil,2
2008Q4,lung,2
2008Q4,high,2
2008Q4,treat,2
2008Q4,nun,2
2008Q4,common,2
2008Q4,man,2
2009Q1,Delhi,10
2009Q1,India,9
2009Q1,time,9
2009Q1,fashion,8
2009Q1,Mumbai,7
2009Q1,heart,6
2009Q1,cancer,6
2009Q1,disease,5
2009Q1,breast,5
2009Q1,Pakistan,4
2009Q1,Raj,4
2009Q1,wine,4
2009Q1,Khan,4
2009Q1,Jai,4
2009Q1,murder,4
2009Q1,party,4
2009Q1,Year,3
2009Q1,new,3
2009Q1,life,3
2009Q1,food,3
2009Q1,weight,3
2009Q1,San,3
2009Q1,sex,3
2009Q1,zone,3
2009Q1,Gandhi,3
2009Q1,sleep,3
2009Q1,Soul,3
2009Q1,Bollywood,3
2009Q1,Man,3
2009Q1,Film,3
2009Q1,people,3
2009Q1,blues,2
2009Q1,suicide,2
2009Q1,Hindu,2
