Interval,Top Keyword,Count,sentiment
2007Q1,Hurricane,90,neutral
2007Q1,Earl,90,neutral
2007Q1,socio,90,neutral
2007Q1,girlfriend,90,neutral
2007Q1,Texas,90,neutral
2007Q1,execution,90,neutral
2007Q1,Transformers,90,positive
2007Q1,Katy,90,neutral
2007Q1,Perry,90,neutral
2007Q1,dot,90,neutral
2007Q1,Amanda,90,neutral
2007Q1,Knox,90,neutral
2007Q1,Meredith,90,neutral
2010Q3,Terry,8,neutral
2010Q3,Jones,8,neutral
2010Q3,suicide,8,negative
2010Q3,York,8,neutral
2010Q3,Blair,6,neutral
2010Q3,dungeon,6,neutral
2010Q3,people,5,neutral
2010Q3,New,5,neutral
2010Q3,sex,4,neutral
2010Q3,Muslim,4,neutral
2010Q3,world,4,neutral
2010Q3,burning,4,neutral
2010Q3,Twin,4,neutral
2010Q3,Towers,4,neutral
2010Q3,pre,4,neutral
2010Q3,breast,4,neutral
2010Q3,cancer,4,neutral
2010Q3,Spy,4,neutral
2010Q3,diamond,4,neutral
2010Q3,Sal,4,neutral
2010Q3,Rush,4,neutral
2010Q3,Ground,4,neutral
2010Q3,Zero,4,neutral
2010Q3,mosque,4,neutral
2010Q3,cult,4,negative
2010Q3,Iraq,3,neutral
2010Q3,Baghdad,3,neutral
2010Q3,sell,3,neutral
2010Q3,Heart,3,positive
2010Q3,attack,3,neutral
2010Q3,diabetes,3,neutral
2010Q3,Frank,3,neutral
2010Q3,fish,3,neutral
2010Q3,time,3,neutral
2010Q3,prostitute,3,neutral
2010Q3,house,3,neutral
2010Q3,Barack,3,neutral
2010Q4,murder,16,negative
2010Q4,invasion,10,neutral
2010Q4,Google,10,neutral
2010Q4,death,9,negative
2010Q4,Prince,9,neutral
2010Q4,Facebook,8,neutral
2010Q4,Mother,8,neutral
2010Q4,Home,7,positive
2010Q4,Qaeda,7,neutral
2010Q4,mother,7,neutral
2010Q4,Sarah,7,neutral
2010Q4,Julian,7,neutral
2010Q4,Christmas,7,positive
2010Q4,Twitter,6,neutral
2010Q4,Stewart,6,neutral
2010Q4,Times,5,neutral
2010Q4,Square,5,neutral
2010Q4,wedding,5,neutral
2010Q4,House,5,neutral
2010Q4,rape,5,neutral
2010Q4,crisis,5,neutral
2010Q4,Halloween,5,neutral
2010Q4,China,5,neutral
2010Q4,Michael,5,neutral
2010Q4,Kate,5,neutral
2010Q4,queen,4,positive
2010Q4,Abe,4,neutral
2010Q4,White,4,neutral
2010Q4,drug,4,neutral
2010Q4,lot,4,neutral
2010Q4,row,4,neutral
2010Q4,the,4,neutral
2010Q4,strangled,4,neutral
2010Q4,Fox,4,neutral
2010Q4,Toyota,4,neutral
2010Q4,Lex,4,neutral
2010Q4,Obama,4,neutral
2010Q4,Christine,4,neutral
2010Q4,Donnell,4,neutral
2010Q4,George,4,neutral
2010Q4,Bush,4,neutral
2010Q4,Black,4,neutral
2010Q4,Keith,4,neutral
2010Q4,home,4,neutral
2011Q1,tsunami,16,neutral
2011Q1,Arizona,15,neutral
