interval,publish_date,joy,neutral,surprise,sadness,fear,anger,disgust
2004Q1,2004-01-01,70,414,25,158,100,133,10
2004Q2,2004-04-01,65,386,25,155,111,143,15
2004Q3,2004-07-01,76,419,21,157,95,124,18
2004Q4,2004-10-01,67,357,31,168,142,136,19
2005Q1,2005-01-01,50,403,22,167,118,126,14
2005Q2,2005-04-01,59,392,18,187,95,136,13
2005Q3,2005-07-01,74,391,30,154,116,140,15
2005Q4,2005-10-01,74,397,22,143,142,133,9
2006Q1,2006-01-01,79,366,16,176,105,145,13
2006Q2,2006-04-01,56,385,17,172,114,143,13
2006Q3,2006-07-01,54,423,20,174,94,141,14
2006Q4,2006-10-01,54,414,10,184,94,144,10
2007Q1,2007-01-01,49,394,22,189,95,134,17
2007Q2,2007-04-01,42,378,18,191,103,152,16
2007Q3,2007-07-01,47,377,18,183,112,163,20
2007Q4,2007-10-01,68,378,26,211,86,121,20
2008Q1,2008-01-01,60,347,23,202,114,143,21
2008Q2,2008-04-01,40,374,16,223,92,152,13
2008Q3,2008-07-01,54,367,20,234,81,134,20
2008Q4,2008-10-01,56,327,29,264,77,145,22
2009Q1,2009-01-01,53,323,31,242,106,132,13
2009Q2,2009-04-01,62,380,23,210,85,133,17
2009Q3,2009-07-01,54,423,14,199,75,132,23
2009Q4,2009-10-01,58,413,23,169,110,130,17
2010Q1,2010-01-01,53,383,25,165,102,154,18
2010Q2,2010-04-01,50,362,18,205,101,150,24
2010Q3,2010-07-01,38,431,30,163,99,142,17
2010Q4,2010-10-01,62,391,21,192,109,122,23
2011Q1,2011-01-01,72,347,27,169,111,151,23
2011Q2,2011-04-01,75,361,32,185,100,140,17
2011Q3,2011-07-01,36,502,21,145,90,114,12
2011Q4,2011-10-01,56,489,32,139,63,128,13
2012Q1,2012-01-01,57,484,25,127,77,123,17
2012Q2,2012-04-01,58,483,32,142,74,103,18
2012Q3,2012-07-01,37,492,29,142,75,134,11
2012Q4,2012-10-01,78,452,37,151,79,118,5
2013Q1,2013-01-01,71,487,14,137,70,99,22
2013Q2,2013-04-01,69,473,27,143,76,110,12
2013Q3,2013-07-01,83,434,30,150,84,119,20
2013Q4,2013-10-01,95,412,37,163,91,107,15
2014Q1,2014-01-01,78,419,38,164,74,117,10
2014Q2,2014-04-01,69,484,28,125,81,109,14
2014Q3,2014-07-01,78,441,32,156,88,111,14
2014Q4,2014-10-01,103,412,35,156,75,124,15
2015Q1,2015-01-01,77,395,39,154,85,129,21
2015Q2,2015-04-01,94,430,26,153,80,112,15
2015Q3,2015-07-01,103,393,32,167,74,140,11
2015Q4,2015-10-01,100,374,43,162,90,134,17
2016Q1,2016-01-01,89,408,31,154,102,108,18
2016Q2,2016-04-01,94,365,33,160,85,147,26
2016Q3,2016-07-01,93,368,44,178,89,125,23
2016Q4,2016-10-01,128,363,39,158,106,108,18
2017Q1,2017-01-01,101,400,49,143,85,95,18
2017Q2,2017-04-01,132,361,55,150,91,99,22
2017Q3,2017-07-01,104,407,62,134,99,100,14
2017Q4,2017-10-01,108,372,69,154,103,106,8
2018Q1,2018-01-01,97,339,46,175,98,123,22
2018Q2,2018-04-01,103,371,50,149,84,129,24
2018Q3,2018-07-01,81,349,58,166,104,145,17
2018Q4,2018-10-01,82,360,50,169,110,135,14
2019Q1,2019-01-01,61,368,36,170,96,148,21
2019Q2,2019-04-01,92,399,34,139,106,119,21
2019Q3,2019-07-01,90,372,46,175,97,123,17
2019Q4,2019-10-01,93,365,34,165,108,132,23
2020Q1,2020-01-01,77,394,45,153,118,98,15
2020Q2,2020-04-01,70,410,34,188,103,95,10
2020Q3,2020-07-01,110,381,37,151,111,124,6
2020Q4,2020-10-01,91,408,46,156,91,110,18
2021Q1,2021-01-01,80,399,51,145,94,122,9
2021Q2,2021-04-01,91,416,31,138,109,97,11
2021Q3,2021-07-01,66,480,26,114,122,86,10
2021Q4,2021-10-01,76,439,39,140,118,77,13
