interval,publish_date,Education & Reference,Politics & Government,Sports,Business & Finance,Health,Entertainment & Music,Science & Mathematics,Computers & Internet,Family & Relationships
2004Q1,2004-01-01,124,345,166,86,51,63,36,19,4
2004Q2,2004-04-01,122,354,176,71,45,43,47,16,3
2004Q3,2004-07-01,134,326,197,86,58,47,34,12,2
2004Q4,2004-10-01,170,354,143,62,46,51,44,7,1
2005Q1,2005-01-01,139,319,205,58,47,56,38,8,1
2005Q2,2005-04-01,127,334,169,82,49,49,48,12,5
2005Q3,2005-07-01,122,333,195,86,37,65,42,16,3
2005Q4,2005-10-01,128,346,197,71,50,51,39,13,2
2006Q1,2006-01-01,145,304,208,82,52,31,45,15,3
2006Q2,2006-04-01,146,341,167,78,45,48,32,11,4
2006Q3,2006-07-01,108,351,175,82,47,50,53,23,2
2006Q4,2006-10-01,131,317,181,71,49,59,62,11,2
2007Q1,2007-01-01,143,299,183,103,43,65,38,11,1
2007Q2,2007-04-01,131,343,162,71,43,73,34,19,2
2007Q3,2007-07-01,151,340,149,94,48,61,44,14,3
2007Q4,2007-10-01,158,315,184,64,42,67,41,6,3
2008Q1,2008-01-01,144,301,195,64,45,80,44,11,5
2008Q2,2008-04-01,147,365,178,71,23,63,40,7,1
2008Q3,2008-07-01,164,297,194,68,38,78,42,10,3
2008Q4,2008-10-01,184,309,167,64,35,89,38,11,4
2009Q1,2009-01-01,163,281,166,105,43,77,43,7,5
2009Q2,2009-04-01,139,265,191,90,66,82,37,14,3
2009Q3,2009-07-01,125,288,150,127,31,97,73,10,5
2009Q4,2009-10-01,156,253,202,78,31,103,57,12,6
2010Q1,2010-01-01,173,245,195,69,35,104,41,12,3
2010Q2,2010-04-01,140,267,198,66,58,106,38,11,1
2010Q3,2010-07-01,170,279,208,70,28,81,49,13,4
2010Q4,2010-10-01,144,237,235,66,43,104,44,7,4
2011Q1,2011-01-01,169,266,201,73,19,84,52,14,8
2011Q2,2011-04-01,155,284,164,82,32,108,45,7,4
2011Q3,2011-07-01,128,254,170,160,38,78,47,21,6
2011Q4,2011-10-01,118,234,187,171,34,90,48,11,4
2012Q1,2012-01-01,126,242,177,178,20,92,46,14,1
2012Q2,2012-04-01,118,227,195,196,26,79,38,17,1
2012Q3,2012-07-01,132,291,170,169,24,63,33,17,2
2012Q4,2012-10-01,157,251,167,151,28,65,53,17,4
2013Q1,2013-01-01,119,209,205,164,23,79,64,11,3
2013Q2,2013-04-01,153,223,181,188,23,62,45,13,2
2013Q3,2013-07-01,133,307,244,79,23,65,28,17,3
2013Q4,2013-10-01,154,262,229,66,33,98,37,19,3
2014Q1,2014-01-01,131,238,254,88,24,83,56,11,2
2014Q2,2014-04-01,148,223,278,87,22,79,34,17,1
2014Q3,2014-07-01,135,273,253,83,37,75,42,9,2
2014Q4,2014-10-01,133,256,238,86,26,68,59,15,3
2015Q1,2015-01-01,137,250,266,74,43,56,44,12,0
2015Q2,2015-04-01,144,225,278,85,28,72,41,14,1
2015Q3,2015-07-01,145,252,268,80,33,65,45,3,4
2015Q4,2015-10-01,130,247,259,74,30,73,60,9,2
2016Q1,2016-01-01,165,228,238,86,28,59,49,13,8
2016Q2,2016-04-01,143,269,206,77,40,78,50,12,6
2016Q3,2016-07-01,140,275,222,84,35,92,38,11,9
2016Q4,2016-10-01,139,243,223,99,36,86,40,10,4
2017Q1,2017-01-01,140,202,232,85,40,83,57,13,6
2017Q2,2017-04-01,133,199,241,92,48,93,51,12,4
2017Q3,2017-07-01,138,218,239,86,28,89,54,22,8
2017Q4,2017-10-01,135,234,221,87,34,84,58,18,5
2018Q1,2018-01-01,137,198,222,98,33,100,60,16,5
2018Q2,2018-04-01,137,231,199,81,20,120,46,23,8
2018Q3,2018-07-01,113,209,203,122,43,124,59,11,3
2018Q4,2018-10-01,123,223,184,111,26,121,78,15,1
2019Q1,2019-01-01,120,250,201,99,34,89,61,19,3
2019Q2,2019-04-01,140,254,220,80,27,91,51,11,3
2019Q3,2019-07-01,108,260,240,93,40,80,66,15,3
2019Q4,2019-10-01,131,228,217,79,46,96,59,12,3
2020Q1,2020-01-01,112,208,202,84,87,96,59,18,3
2020Q2,2020-04-01,111,207,140,89,133,77,84,33,0
2020Q3,2020-07-01,92,203,271,92,97,58,52,31,2
2020Q4,2020-10-01,124,273,207,78,66,70,60,18,3
2021Q1,2021-01-01,122,236,201,96,77,62,62,23,4
2021Q2,2021-04-01,120,258,117,78,86,95,63,15,5
2021Q3,2021-07-01,108,280,165,61,102,66,61,33,4
2021Q4,2021-10-01,147,233,141,68,84,75,101,20,2
