publish_date,Positive,Negative
2003-02-28,29,35
2003-03-31,0,0
2003-04-30,23,41
2003-05-31,0,0
2003-06-30,25,39
2003-07-31,0,0
2003-08-31,24,40
2003-09-30,0,0
2003-10-31,0,0
2003-11-30,30,34
2003-12-31,0,0
2004-01-31,24,40
2004-02-29,0,0
2004-03-31,28,36
2004-04-30,0,0
2004-05-31,31,33
2004-06-30,0,0
2004-07-31,21,43
2004-08-31,0,0
2004-09-30,28,36
2004-10-31,0,0
2004-11-30,27,37
2004-12-31,0,0
2005-01-31,19,45
2005-02-28,0,0
2005-03-31,21,43
2005-04-30,0,0
2005-05-31,0,0
2005-06-30,26,38
2005-07-31,0,0
2005-08-31,28,36
2005-09-30,0,0
2005-10-31,17,22
