Top Keyword,Count
abortion,9
murder,8
child,8
bag,7
health,7
abuse,6
mine,5
car,5
strike,5
tsunami,5
land,4
fire,4
care,4
blast,4
coal,4
park,4
anti,4
suicide,4
fraud,4
landslide,4
war,4
power,4
air,4
bomb,4
mental,4
community,3
earthquake,3
protest,3
bush,3
killer,3
licence,2
rail,2
breast,2
sports,2
aged,2
ant,2
disease,2
radio,2
sale,2
national,2
terrorism,2
man,2
drought,2
wind,2
farm,2
cannabis,2
assault,2
mild,2
detention,2
day,2
ambush,2
flight,2
gas,2
caps,2
road,2
cattle,2
minister,2
port,2
head,2
nickel,2
price,2
case,2
cricket,2
energy,2
green,2
bay,2
alcohol,2
time,2
grand,2
kidney,2
wage,2
water,2
plane,2
crash,2
cease,2
jail,2
airport,2
rights,2
tourism,2
face,2
broadcasting,1
nightclub,1
population,1
economic,1
growth,1
reduction,1
house,1
link,1
complex,1
bankruptcy,1
tobacco,1
shale,1
oil,1
grenade,1
men,1
swimming,1
peace,1
democracy,1
grace,1
period,1
drug,1
party,1
stabbing,1
ferry,1
rebellion,1
bone,1
fireworks,1
satellite,1
veterans,1
intelligence,1
leak,1
coup,1
ship,1
flooded,1
act,1
sheep,1
take,1
broken,1
hill,1
surprise,1
south,1
attempted,1
people,1
smuggling,1
synagogue,1
racism,1
pearl,1
bakery,1
robbery,1
museum,1
court,1
ecstasy,1
freight,1
timber,1
mass,1
dive,1
boat,1
river,1
grape,1
support,1
protection,1
sex,1
pawn,1
shop,1
marijuana,1
oxygen,1
lightning,1
turkey,1
accident,1
insurance,1
heroin,1
lift,1
catchment,1
authority,1
stamp,1
duty,1
storm,1
counter,1
immigration,1
bird,1
flu,1
greenhouse,1
emissions,1
bus,1
fixing,1
weight,1
loss,1
spirit,1
pet,1
return,1
bail,1
budget,1
surplus,1
bullying,1
pine,1
housing,1
underground,1
mining,1
test,1
hospital,1
stay,1
prisoner,1
term,1
audit,1
5000,1
world,1
record,1
industrial,1
bat,1
journalist,1
convention,1
centre,1
hall,1
fame,1
smoke,1
drama,1
adoption,1
painting,1
news,1
chief,1
plastic,1
latest,1
accused,1
victim,1
digital,1
fall,1
balcony,1
final,1
factory,1
stone,1
now,1
apology,1
environment,1
warning,1
birth,1
broadcast,1
gold,1
pay,1
rise,1
draft,1
station,1
teenager,1
riot,1
generation,1
pro,1
plant,1
wine,1
prison,1
shark,1
new,1
year,1
train,1
food,1
poisoning,1
service,1
tag,1
valley,1
university,1
finance,1
cup,1
smoking,1
private,1
sector,1
pope,1
patient,1
orange,1
foul,1
play,1
bid,1
heart,1
hurt,1
grants,1
torture,1
animal,1
far,1
minimum,1
visa,1
row,1
refugee,1
card,1
gymnastics,1
human,1
hub,1
criminal,1
petrol,1
attack,1
breakthrough,1
labor,1
army,1
exercise,1
say,1
interpreter,1
scheme,1
typhoon,1
sell,1
uranium,1
die,1
conditional,1
screen,1
film,1
cement,1
waterfront,1
concert,1
hunger,1
powder,1
pollution,1
screening,1
street,1
nuclear,1
legislation,1
documentary,1
