Interval,Top Keyword,Count
2003-02 to 2003-04,community,1
2003-03 to 2003-05,land,1
2003-04 to 2003-06,bankruptcy,1
2003-05 to 2003-07,earthquake,1
2003-06 to 2003-08,anti,2
2003-07 to 2003-09,ferry,1
2003-08 to 2003-10,suicide,1
2003-09 to 2003-11,drought,1
2003-10 to 2003-12,mild,1
2003-11 to 2004-01,bush,1
2003-12 to 2004-02,abortion,1
2004-01 to 2004-03,child,3
2004-02 to 2004-04,lightning,1
2004-03 to 2004-05,head,2
2004-04 to 2004-06,greenhouse,1
2004-05 to 2004-07,budget,1
2004-06 to 2004-08,energy,2
2004-07 to 2004-09,bay,1
2004-08 to 2004-10,plastic,1
2004-09 to 2004-11,health,2
2004-10 to 2004-12,factory,1
2004-11 to 2005-01,abortion,5
2004-12 to 2005-02,tsunami,2
2005-01 to 2005-03,fire,3
2005-02 to 2005-04,murder,1
2005-03 to 2005-05,jail,1
2005-04 to 2005-06,bag,2
2005-05 to 2005-07,heart,1
2005-06 to 2005-08,rights,2
2005-07 to 2005-09,hub,1
2005-08 to 2005-10,say,1
2005-09 to 2005-11,child,1
2005-10 to 2005-12,tsunami,1
2005-11 to 2006-01,grand,1
