Interval,Top Keyword,Count
2003-02,community,1
2003-03,land,1
2003-04,bankruptcy,1
2003-05,earthquake,1
2003-06,anti,2
2003-07,ferry,1
2003-08,suicide,1
2003-09,drought,1
2003-10,mild,1
2003-11,bush,1
2003-12,abortion,1
2004-01,child,3
2004-02,lightning,1
2004-03,head,2
2004-04,greenhouse,1
2004-05,budget,1
2004-06,energy,2
2004-07,bay,1
2004-08,plastic,1
2004-09,health,2
2004-10,factory,1
2004-11,abortion,5
2004-12,tsunami,2
2005-01,fire,3
2005-02,murder,1
2005-03,jail,1
2005-04,bag,2
2005-05,heart,1
2005-06,rights,2
2005-07,hub,1
2005-08,say,1
2005-09,child,1
2005-10,tsunami,1
2005-11,grand,1
